fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2022-11-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,4","0,0","12,9",05:56,"19,8",12:59,47.0,65.0,20:20,37.0,11:50
2022-11-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,0","11,7",05:09,"21,6",14:19,61.0,81.0,23:50,40.0,11:10
2022-11-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,4","0,0","13,5",Varias,"21,3",11:47,73.0,87.0,23:50,46.0,11:40
2022-11-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,5","0,2","14,5",Varias,"22,5",13:45,80.0,90.0,Varias,65.0,12:50
2022-11-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,4",,"15,0",06:34,"23,7",13:59,63.0,91.0,23:59,46.0,14:40
2022-11-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,0","0,0","15,5",Varias,"20,4",13:17,74.0,92.0,01:40,62.0,11:10
2022-11-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,9","0,0","15,0",Varias,"20,8",14:09,78.0,84.0,18:00,61.0,10:50
2022-11-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,9","0,0","17,1",23:55,"20,7",13:47,80.0,85.0,Varias,75.0,13:20
2022-11-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,6","0,4","14,7",07:37,"20,4",13:25,79.0,89.0,04:30,72.0,13:00
2022-11-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,6","0,0","16,2",00:44,"21,1",13:35,77.0,91.0,05:30,67.0,13:40
2022-11-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"19,0","0,0","16,3",01:32,"21,8",12:51,63.0,79.0,00:30,53.0,12:50
2022-11-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,9","0,0","16,7",00:01,"21,1",14:48,63.0,76.0,10:30,43.0,16:00
2022-11-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"20,2","0,0","17,3",Varias,"23,1",13:50,60.0,68.0,12:30,43.0,20:50
2022-11-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,6","4,0","13,1",24:00,"18,2",00:01,65.0,78.0,23:59,50.0,00:00
2022-11-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,0","10,6",Varias,"17,1",14:43,58.0,84.0,00:50,43.0,Varias
2022-11-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,1","0,0","9,1",07:16,"17,1",13:28,54.0,70.0,23:40,36.0,12:20
2022-11-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,8","0,2","11,6",23:57,"16,1",14:06,67.0,78.0,17:50,57.0,08:10
2022-11-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","10,2",Varias,"15,0",15:06,48.0,67.0,23:50,40.0,14:20
2022-11-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"17,4","0,0","11,9",01:49,"23,0",14:06,68.0,79.0,20:20,49.0,14:20
2022-11-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,2","0,4","13,3",07:16,"19,1",14:28,73.0,81.0,13:20,56.0,14:20
2022-11-25,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,3","0,2","11,5",23:57,"19,1",12:19,68.0,79.0,01:00,56.0,12:00
2022-11-26,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,2","0,0","10,7",05:38,"19,6",14:19,48.0,68.0,00:50,35.0,12:40
2022-11-27,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,7","0,0","10,0",06:26,"17,4",14:16,68.0,85.0,23:50,54.0,11:50
2022-11-28,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,6","11,3",23:54,"15,4",14:50,73.0,86.0,Varias,59.0,19:40
2022-11-29,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,6","0,0","10,2",06:18,"17,0",14:06,60.0,76.0,23:40,47.0,13:30
2022-11-30,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","0,0","9,8",04:24,"14,9",13:02,68.0,77.0,00:20,61.0,11:20
2022-12-01,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","9,8",23:44,"15,3",13:33,58.0,78.0,00:40,50.0,12:30
2022-12-02,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,8","0,0","9,4",Varias,"14,1",14:55,53.0,63.0,23:59,48.0,12:10
2022-12-03,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"10,8","1,2","6,8",06:41,"14,9",13:32,59.0,83.0,23:30,43.0,12:20
2022-12-04,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,6","0,0","9,2",22:36,"13,9",Varias,59.0,83.0,00:00,44.0,16:00
2022-12-05,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,0","0,0","7,3",05:13,"14,7",13:52,67.0,80.0,20:10,53.0,08:50
2022-12-06,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,0","11,0",05:59,"15,9",14:06,74.0,86.0,Varias,66.0,11:10
2022-12-07,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,4","0,0","10,0",04:47,"14,7",11:42,76.0,87.0,00:10,68.0,10:30
2022-12-08,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,0","10,2","11,2",06:12,"14,9",10:21,85.0,93.0,Varias,77.0,Varias
2022-12-09,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,4","13,0",04:42,"20,3",14:23,73.0,93.0,03:20,50.0,14:00
2022-12-10,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"11,6","0,0","7,4",23:28,"15,7",13:07,57.0,82.0,06:00,37.0,17:40
2022-12-11,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,6","0,0","7,3",00:48,"11,8",12:43,57.0,82.0,Varias,41.0,Varias
2022-12-12,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"9,5","8,6","7,7",05:35,"11,3",12:07,74.0,91.0,Varias,59.0,12:10
2022-12-13,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,9","3,0","10,7",00:42,"15,1",13:05,86.0,92.0,Varias,77.0,12:50
2022-12-14,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,6","1,2","12,9",05:32,"16,4",12:57,85.0,94.0,Varias,78.0,10:30
2022-12-15,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,9","0,2","13,2",Varias,"18,6",14:34,79.0,90.0,06:20,58.0,14:30
2022-12-16,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,5","0,6","11,3",05:47,"17,7",13:50,65.0,81.0,06:00,51.0,14:00
2022-12-17,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"13,4","0,2","11,5",23:42,"15,2",Varias,82.0,86.0,Varias,69.0,00:20
2022-12-18,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"12,6","0,0","9,0",Varias,"16,1",14:07,79.0,87.0,Varias,68.0,13:40
2022-12-19,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,2","0,0","11,0",07:26,"17,4",14:00,83.0,91.0,04:40,67.0,14:10
2022-12-20,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"14,3","1,0","11,6",06:43,"17,0",13:05,82.0,92.0,07:20,67.0,14:10
2022-12-21,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"15,8","0,0","12,5",05:33,"19,2",14:51,68.0,87.0,03:20,51.0,15:00
2022-12-22,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,2","0,0","12,8",06:04,"19,5",13:33,63.0,76.0,01:10,54.0,16:00
2022-12-23,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"18,8","0,0","14,5",01:19,"23,1",Varias,56.0,74.0,01:30,45.0,15:30
2022-12-24,0201X,"BARCELONA, DRASSANES",BARCELONA,11,"16,6","0,0","13,0",23:54,"20,3",12:02,61.0,71.0,23:20,50.0,12:00
