fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin
2023-09-04,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"26,0","0,0","23,7",23:40,"28,3",11:00,8.0,"8,3","13,3",07:40,70,92,23:20,38,06:00
2023-09-05,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,2","0,0","23,4",04:40,"27,1",10:00,9.0,"5,6","10,0",06:50,81,93,Varias,57,04:50
2023-09-06,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,4","0,0","22,5",Varias,"28,2",10:20,12.0,"3,1","7,2",12:30,75,89,00:20,54,08:40
2023-09-07,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,7","0,0","20,3",05:40,"27,1",12:50,10.0,"2,5","5,3",11:10,74,88,Varias,66,07:10
2023-09-08,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,6","0,0","19,8",05:00,"27,3",12:00,14.0,"2,2","4,7",Varias,76,89,Varias,57,11:50
2023-09-09,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,2","0,0","19,7",06:00,"26,6",10:00,13.0,"2,2","4,7",11:10,80,90,Varias,72,08:20
2023-09-10,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,8","0,9","20,7",05:40,"26,9",12:30,14.0,"2,8","5,3",11:00,84,90,Varias,79,Varias
2023-09-11,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,1","0,0","20,7",06:40,"27,5",11:30,14.0,"2,2","5,0",13:40,89,92,05:40,81,11:10
2023-09-12,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,2","21,6",05:40,"27,2",11:30,10.0,"2,8","6,7",14:50,89,92,Varias,78,07:40
2023-09-13,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,2","0,0","20,7",05:00,"27,7",10:20,13.0,"2,2","19,2",04:50,79,93,05:10,63,09:00
2023-09-14,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,4","0,0","21,5",03:50,"27,4",10:00,21.0,"3,3","7,8",13:40,80,88,23:40,66,10:00
2023-09-15,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,4","23,7","19,3",16:50,"25,4",08:40,11.0,"3,9","11,7",14:10,88,94,Varias,73,07:40
2023-09-16,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,2","0,0","19,7",05:00,"26,7",11:40,20.0,"3,1","6,4",13:00,89,93,Varias,79,10:10
2023-09-17,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"25,0","0,0","21,6",04:40,"28,3",14:30,24.0,"1,9","8,9",22:50,88,93,Varias,81,07:30
2023-09-18,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"27,0","0,0","23,9",06:40,"30,0",12:50,25.0,"3,9","9,7",15:40,67,92,00:00,39,12:40
2023-09-19,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"24,1","17,9","21,8",06:00,"26,4",10:00,14.0,"3,1","7,2",02:50,76,91,23:59,56,00:00
2023-09-20,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,2","0,0","18,0",04:00,"24,5",13:00,26.0,"3,1","9,7",17:40,82,93,Varias,70,12:10
2023-09-21,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,8","0,0","20,2",03:00,"27,5",10:40,24.0,"4,2","11,4",14:50,73,91,Varias,39,10:30
2023-09-22,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,7","0,0","19,5",22:50,"25,9",16:00,16.0,"4,2","10,3",14:40,57,85,21:30,37,Varias
2023-09-23,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"20,5","0,0","17,1",04:50,"23,9",09:50,11.0,"2,2","5,3",19:20,60,78,23:59,50,09:10
2023-09-24,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,6","0,0","17,8",06:10,"25,3",13:40,25.0,"3,1","9,2",16:30,78,89,Varias,62,13:30
2023-09-25,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,8","0,0","18,3",05:50,"25,3",12:30,8.0,"2,2","5,3",08:40,73,90,Varias,55,11:10
2023-09-26,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"21,4","0,0","17,8",06:00,"25,1",12:50,22.0,"2,5","6,7",14:30,78,90,Varias,72,Varias
2023-09-27,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,6","0,0","19,0",03:00,"26,3",10:30,22.0,"3,9","9,7",15:20,83,90,18:00,59,09:50
2023-09-28,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"22,8","0,0","19,6",06:00,"26,1",14:00,24.0,"3,6","11,7",14:10,84,92,Varias,74,14:50
2023-09-29,0201D,"BARCELONA, PORT OL�MPIC",BARCELONA,26,"23,7","0,0","20,4",05:20,"27,0",17:10,20.0,"2,2","5,6",14:50,79,92,Varias,60,17:30
