id,code,date,longitude,latitude,ref_system,nuts0_id,nuts0_name,nuts3_id,nuts3_name,lau_id,lau_name,type,validation,category,ai value,larvae,bite_count,bite_location,bite_time,map_link,Fecha
36325024-9edd-4160-8798-22736baa546a,VqRH,2023-05-24 08:29:10.043929+00:00,2.1693783,41.4082809,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/36325024-9edd-4160-8798-22736baa546a,2023-05-24
3fdf749e-4005-4429-b2c3-2e5be15dad59,1PUJ,2023-05-24 08:59:19.966751+00:00,2.1711722,41.4077629,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/3fdf749e-4005-4429-b2c3-2e5be15dad59,2023-05-24
03631e49-2b01-471c-880c-46e5e88320df,3906,2021-05-11 08:00:05.759663+00:00,2.1937751,41.4173051,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/03631e49-2b01-471c-880c-46e5e88320df,2021-05-11
66066550-103c-4298-84c9-d2eca749ca5e,8q7f,2022-05-31 10:41:15.179168+00:00,2.1694946,41.4257775,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/66066550-103c-4298-84c9-d2eca749ca5e,2022-05-31
4fd96ef2-a91b-438d-86aa-c6fe936a917d,9CFS,2022-05-31 07:59:50.793476+00:00,2.1761606,41.432239,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/4fd96ef2-a91b-438d-86aa-c6fe936a917d,2022-05-31
153d337c-7902-4684-a64e-e16055fe178d,UeL1,2022-05-31 08:23:57.916089+00:00,2.1795649,41.4304723,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/153d337c-7902-4684-a64e-e16055fe178d,2022-05-31
dd84724a-a4fa-4b70-8a94-fb7143bf3d92,557s,2022-04-22 11:55:41.134180+00:00,2.1721884,41.4473566,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/dd84724a-a4fa-4b70-8a94-fb7143bf3d92,2022-04-22
ef011038-a03f-4842-a2cd-8aea17af5c18,6772,2022-05-31 08:08:12.898150+00:00,2.1787257,41.4321976,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_water,,,,,,https://map.mosquitoalert.com/ef011038-a03f-4842-a2cd-8aea17af5c18,2022-05-31
2a79debc-a8bc-49a5-a16f-10e924ece0b2,4792,2021-09-17 06:36:14.926405+00:00,2.1913816,41.4147894,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,adult,0,unidentified,,,,,,https://map.mosquitoalert.com/2a79debc-a8bc-49a5-a16f-10e924ece0b2,2021-09-17
b2e62b55-34c3-49b1-87a8-dfc6cb652969,5365,2024-05-22 07:09:28.176524+00:00,2.1824647,41.4269743,WGS84,ES,España,ES511,Barcelona,ES_08019,Barcelona,site,1,storm_drain_dry,,,,,,https://map.mosquitoalert.com/b2e62b55-34c3-49b1-87a8-dfc6cb652969,2024-05-22
